"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 109",136,1400000,3,"1"
"SEPS 713",25,3e+05,1,"1"
"SQS 109",136,1480000,3,"1"
"SQS 412",62,650000,3,"1"
"SQS 302",220,2450000,5,"3 "
"SQS 415",54,580000,2,"1"
"SQS 213",211,10250,4,"1"
"SQS 306",154,1180000,3,"1"
"SQS 114",158,2250000,3,"1"
"SQS 213",120,1380000,3,"1"
"SQS 410",33,330000,1,"1"
"SQS 109",136,1480000,3,"1"
"SQS 408",85,870000,3,"1"
"SQS 304",177,1750000,4,"1"
"SQS 103",119,1500000,3,"2 "
"SQS 406",63,630000,3,"1"
"SQS 215",119,1840000,3,"2 "
"SQS 203",63,980000,2,"1"
"SQS 114",157,2400000,3,"1"
"SQS 103",144,1872000,4,"1"
"SQS 304",177,1799000,4,"1"
"SQS 206",191,2800000,4,"1"
"SQS 304",120,1100000,3,"1"
"SQS 210",130,1750000,4,"1"
"SQS 108",140,2100000,2,"1"
"SQS 116",70,830000,2,"1"
"SQS 203",77,880000,2,"1"
"SQS 103",95,870000,2,"1"
"SQS 415",52,590000,2,"02 "
"SQS 312",174,1960000,3,"1"
"SQS 308",157,2300000,3,"1"
"SQS 211",120,1450000,3,"1"
"CLS 311",140,1800000,3,"3 "
"SQS 413",49,5e+05,2,"1"
"SQS 215",120,1500000,3,"1"
"SQS 110",99,1190000,3,"1"
"SQS 413",60,470000,2,"1"
"SQS 108",140,2100000,2,"1"
"SQS 310",70,775000,2,"1"
"SQS 403",90,950000,3,"1"
"SQS 310",199,3e+06,4,"4 "
"SQS 114",200,2500000,4,"1"
"SGAS 916",26,320000,1,"1"
"SQS 402",92,860000,3,"1"
"SQS 106",90,980,2,"1"
"SQS 405",39,380000,1,"1"
"SQS 311",73,810000,2,"1"
"SQS 405",79,810000,2,"1"
"SGAS 910",27,235000,1,"1"
"SQS 206",90,1100000,3,"3 "
"SQS 107",183,1890000,4,"1"
"SQS 109",140,1550000,3,"1"
"SEPS 713",25,335000,1,"1"
"SQS 205",100,1050000,3,"1"
"EQS 414",28,280000,1,"1"
"SQS 312",101,1590000,3,"1"
"SQS 311",148,1690000,3,"3 "
"SQS 315",135,1600000,3,"1"
"SQS 108",161,1800000,3,"3 "
"SQS 306",154,1380000,3,"1"
"SQS 205",64,8e+05,2,"1"
"SQS 108",161,1800000,3,"1"
"SQS 405",79,740000,2,"02 "
"SQS 110",107,1400000,3,"1"
"SQS 409",75,615000,2,"1"
"SQS 105",165,2150000,4,"1"
"SQS 415",45,469000,2,"1"
"SQS 306",136,1400000,3,"1"
"SQS 109",136,1400000,3,"1"
"SQS 105",154,1780000,3,"1"
"SQS 410",34,345000,1,"1"
"SQS 103",119,1350000,3,"2 "
"SQS 411",77,780000,3,"1"
"SQS 413",49,5e+05,2,"1"
"SQS 107",178,1450000,4,"1"
"SQS 402",63,680000,2,"1"
"SQS 215",116,1350000,3,"1"
"SQS 403",86,950000,3,"1"
"SQS 316",157,1790000,3,"1"
"SQS 412",90,820000,3,"1"
"SQS 306",161,1770000,3,"1"
"SQS 309",211,3100000,4,"2 "
"SQS 106",134,1190000,3,"1"
"SQS 415",55,6e+05,2,"2 "
"SHIGS 714",124,1100000,3,"1"
"SQS 409",75,595000,2,"2 "
"SQS 302",220,2650000,5,"2 "
"SQS 415",48,460000,2,"1"
"SQS 414",64,1089518,2,"1"
"SQS 415",57,550000,2,"1"
"SQS 403",85,740000,3,"1"
"SQS 205",88,970000,2,"1"
"SQS 402",90,789999,3,"1"
"SQS 415",55,640000,2,"1"
"SQS 108",140,2100000,2,"1"
"SQS 403",82,750000,3,"1"
"SQS 114",157,3090000,3,"3 "
"SQS 411",98,980000,3,"1"
"SQS 210",130,1800000,4,"1"
"SQS 410",64,650000,2,"1"
"SQS 311",148,1690000,3,"3 "
"SQS 214",132,1480000,3,"1"
"SQS 415",45,479000,2,"1"
"SQS 416",77,850000,3,"1"
"SQS 311",73,810000,2,"1"
"SEPS 713",25,315000,1,"1"
"SQS 103",36,420000,1,"1"
"SQS 304",177,1650000,4,"1"
"SQS 312",201,2090000,3,"1"
"SQS 207",175,2990000,3,"1"
"SQS 311",150,1800000,4,"3 "
"SQS 408",60,620000,2,"1"
"SQS 302",115,1590000,3,"1"
"SQS 405",24,325000,1,"1"
"SGAS 910",25,195000,1,"1"
"SQS 413",50,445000,2,"1"
"SQS 408",101,880000,3,"1"
"SQS 109",137,1399900,3,"1"
"SQS 403",78,710000,3,"1"
"SQS 114",201,2590000,4,"2 "
"SQS 103",119,1500000,3,"2 "
"SQS 402",87,890000,3,"1"
"SQS 309",217,3100000,4,"2 "
"EQS 414",133,1199000,4,"1"
"SQS 313",153,1650000,3,"1"
"SQS 305",153,1220000,3,"1"
"SQS 107",178,1400000,4,"1"
"SHIGS 714",125,899000,3,"1"
"SQS 107",183,1890000,4,"1"
"SQS 104",154,1480000,4,"2 "
"SQS 305",154,1330000,3,"1"
"SQS 409",60,620000,2,"1"
"SQS 306",161,1140000,3,"1"
"SQS 405",104,770000,3,"1"
"SQS 415",54,585000,2,"1"
"SQS 405",112,990000,3,"1"
"SQS 402",103,1180000,3,"1"
"SQS 115",150,2250000,2,"2 "
"EQS 414",52,220000,2,"1"
"SHIGS 714",125,1e+06,3,"1"
"SQS 109",140,1410000,3,"1"
"SQS 106",90,870000,3,"1"
"SQS 214",123,1284000,3,"3 "
"SQS 103",95,8e+05,2,"1"
"SQS 406",89,850000,2,"1"
"SQS 312",377,5900000,4,"4 "
"SQS 103",37,550000,1,"1"
"SQS 312",200,2090000,3,"1"
"SQS 311",149,1900000,3,"1"
"SQS 415",45,459900,2,"1"
"SQS 415",79,720000,3,"1"
"SQS 107",160,1680000,4,"1"
"SQS 311",225,2990000,4,"4 "
"SQS 205",87,1085000,3,"1"
"SQS 304",140,1500000,3,"1"
"SEPS 712",30,3e+05,1,"1"
"SQS 405",104,980000,3,"1"
"SGAS 910",26,215000,1,"1"
"SQS 213",120,1330000,3,"1"
"SQS 104",156,1650000,4,"1"
"SQS 303",110,1220000,3,"1"
"SQS 211",120,1900000,3,"1"
"SQS 409",66,630000,2,"1"
"SQS 402",63,6e+05,2,"1"
"SQS 204",120,1390000,2,"1"
"SQS 414",89,835000,3,"1"
"SQS 409",90,685000,3,"1"
"EQS 414",61,520000,3,"1"
"SEPS 713",27,540000,1,"1"
"SQS 308",157,1875000,3,"1"
"SQS 409",54,630000,2,"1"
"SQS 215",119,1500000,3,"1"
"SQS 206",110,1200000,3,"1"
"SQS 206",131,1690000,3,"2 "
"SQS 409",60,630000,2,"1"
"SQS 108",100,970000,2,"1"
"SQS 304",177,1750000,4,"1"
"SQS 116",65,950000,2,"1"
"SQS 108",140,2100000,2,"1"
"SQS 303",110,1550000,3,"1"
"SQS 315",104,1280000,3,"1"
"SQS 415",54,585000,2,"1"
"SQS 211",120,1490000,3,"1"
"SQS 415",55,520000,2,"1"
"SQS 106",134,1380000,3,"1"
"SQS 311",156,1800000,3,"3 "
"SHIGS 714",120,990000,3,"1"
"SQS 414",93,849000,3,"1"
"SQS 411",48,549000,2,"1"
"SQS 310",69,750000,2,"1"
"SQS 206",85,1200000,3,"3 "
"SQS 404",86,785000,3,"2 "
"SQS 412",78,790000,3,"1"
"SGAS 910",27,240000,1,"1"
"SQS 211",120,1700000,3,"1"
"SQS 111",233,3100000,4,"1"
"SQS 108",140,2100000,2,"1"
"SQS 210",185,2300000,3,"1"
"SQS 210",100,1270000,3,"1"
"SQS 106",141,1300000,3,"1"
"EQS 414",21,220000,1,"1"
"SQS 210",105,1250000,3,"1"
"SQS 211",110,1200000,3,"1"
