"Anuncio"
"
                    
                        
                            
                                SQS 214, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 122 m²
                            
                        
                    
                        
                             
                        

                    
                        
                                R$ 1.350.000
                                Valor m² R$ 11.065
                        
                        
                        
                                122 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                        
                    
                        Lindo apartamento reformado 
Andar alto 
Linda vista 

Composto de:
•	Living;
•	Hall dos quartos;
•	Banheiro social;
•	C... 18/11/23
                    
                    
                        
                            
                                Creci:
                                18616
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 404 Bloco A, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 77 m²
                            
                        
                    
                        
                             Reformadíssimo
                        

                    
                        
                                R$ 860.000
                                Valor m² R$ 11.076
                        
                        
                        
                                77 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                        
                    
                        Espaço Tamanduá – Um Apartamento Poético à Venda na Asa Sul

Descubra a poesia da vida em um lar singular. Apresentamos ... 18/11/23
                    
                    
                        
                            
                                Creci:
                                28177
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 306, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 154 m²
                            
                        
                    
                        
                             APARTAMENTO ASA SUL 3 QUARTOS NASCENTE E VAZADO
                        

                    
                        
                                R$ 1.650.000
                                Valor m² R$ 10.714
                        
                        
                        
                                154 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                        
                    
                        SQS 306 - REFORMADO, ANDAR ALTO, VISTA LIVRE 
 
No coração de Brasília, na privilegiada SQS 306, está o apartamento dos ... 18/11/23
                    
                    
                        
                            
                                Creci:
                                21418
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 411 Bloco I, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 98 m²
                            
                        
                    
                        
                             SQS 411-  REFORMADO ELEVADOR E GARAGEM
                        

                    
                        
                                R$ 1.199.000
                                Valor m² R$ 12.234
                        
                        
                        
                                98 m²
                            
                                
                                    2 Quartos
                                

                                
                                    2 Suítes
                                

                                
                                    1 Vaga
                                
                        
                    
                        Apartamento 02 quartos - Vista Livre - Perpendicular
Apartamento alto padrão,100% reformado e com acabamento impecável.
... 18/11/23
                    
                    
                        
                            
                                Creci:
                                17097
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 214 Bloco B, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 112 m²
                            
                        
                    
                        
                            SQS 214 BLOCO B 
                        

                    
                        
                                R$ 1.480.000
                                Valor m² R$ 13.214
                        
                        
                        
                                112 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                                
                                    1 Vaga
                                
                        
                    
                        IDEALIZE VENDE LINDO APARTAMENTO  DE 03 QUARTO NA SQS 214, BLOCO “B"". 

Imóvel: 

-ERAM TRÊS QUARTOS E FOI TRANSFORMADO ... 18/11/23
                    
                    
                        
                            
                                Creci:
                                13337
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 402, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 63 m²
                            
                        
                    
                        
                            BLOCO E Nascente! Portaria 24 horas! Piso todo em Porcelanato! Ar condicionado! SQS 402!!!
                        

                    
                        
                                R$ 635.000
                                Valor m² R$ 10.079
                        
                        
                        
                                63 m²
                            
                                
                                    2 Quartos
                                


                        
                    
                        NEVES TEIXEIRA IMÓVEIS VENDE:

Excelente apartamento nascente, todo em porcelanato imitando madeira,  com 63m² de área p... 18/11/23
                    
                    
                        
                            
                                Creci:
                                29560
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 413 Bloco P, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 82 m²
                            
                        
                    
                        
                             Apartamento com 3 dormitórios à venda, 82 m² por R$ 730.000,00 - Asa Sul - Brasília/DF
                        

                    
                        
                                R$ 730.000
                                Valor m² R$ 8.902
                        
                        
                        
                                82 m²
                            
                                
                                    3 Quartos
                                


                        
                    
                        SQS 413 Excelente apartamento de 03 quartos com armários planejados.
 1º andar.
Sala composta de dois ambientes, linda v... 18/11/23
                    
                    
                        
                            
                                Creci:
                                9712
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 306, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 154 m²
                            
                        
                    
                        
                             Apartamento à venda, 154 m² por R$ 1.650.000,00 - Asa Sul - Brasília/DF
                        

                    
                        
                                R$ 1.650.000
                                Valor m² R$ 10.714
                        
                        
                        
                                154 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                        
                    
                        SQS 306 - Apartamento com 3 quartos sendo 1 suíte à venda - Asa Sul

Apresentamos a você uma excelente oportunidade: est... 18/11/23
                    
                    
                        
                            
                                Creci:
                                CJ1704
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 207, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 175 m²
                            
                        
                    
                        
                             SQS 207 APARTAMENTO 3 QUARTOS
                        

                    
                        
                                R$ 2.990.000
                                Valor m² R$ 17.085
                        
                        
                        
                                175 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                                
                                    1 Vaga
                                
                        
                    
                        Oportunidade Única na Asa Sul: Espetacular Apartamento de 3 Quartos com Reforma de Alto Padrão!
 
Se você busca um estil... 18/11/23
                    
                    
                        
                            
                                Creci:
                                21418
                            
                        
                        
                            contatar
                        
                        
                    
                "
"
                    
                        
                            
                                SQS 215, ASA SUL, BRASILIA
                            
                            
                                Venda Apartamento 118 m²
                            
                        
                    
                        
                             SQS 215 APARTAMENTO 3 QUARTOS - VAZADO
                        

                    
                        
                                R$ 1.499.000
                                Valor m² R$ 12.703
                        
                        
                        
                                118 m²
                            
                                
                                    3 Quartos
                                

                                
                                    1 Suíte
                                

                                
                                    1 Vaga
                                
                        
                    
                        Lindo apartamento, em andar alto (4 andar), canto, todo reformado e vazado!! Sala e dois quartos com vista livre para o ... 18/11/23
                    
                    
                        
                            
                                Creci:
                                21418
                            
                        
                        
                            contatar
                        
                        
                    
                "
